song	artist	hip_hop_rnb	genre
Somewhere I Belong	Linkin Park	0	Country / Rock
Song #3[18]	Stone Sour	0	Country / Rock
Sound of Madness	Shinedown	0	Country / Rock
Speak	Godsmack	0	Country / Rock
Square Hammer	Ghost	0	Country / Rock
Stand Up	All That Remains	0	Country / Rock
State of My Head	Shinedown	0	Country / Rock
Stiff Upper Lip	AC/DC	0	Country / Rock
Still Breathing	Green Day	0	Country / Rock
Still Counting	Volbeat	0	Country / Rock
Still Frame	Trapt	0	Country / Rock
Stone	Alice in Chains	0	Country / Rock
Straight Out of Line	Godsmack	0	Country / Rock
Take Me Down	The Pretty Reckless	0	Country / Rock
Take Out the Gunman	Chevelle	0	Country / Rock
The Crow & the Butterfly	Shinedown	0	Country / Rock
The Day That Never Comes	Metallica	0	Country / Rock
The Devil's Bleeding Crown[16]	Volbeat	0	Country / Rock
The Good Life	Three Days Grace	0	Country / Rock
The Hangman's Body Count	Volbeat	0	Country / Rock
The High Road	Three Days Grace	0	Country / Rock
The Jester	Badflower	0	Country / Rock
The Light	Disturbed	0	Country / Rock
The Mountain	Three Days Grace	0	Country / Rock
The Otherside	Red Sun Rising	0	Country / Rock
The Pot	Tool	0	Country / Rock
The Pretender	Foo Fighters	0	Country / Rock
The Sex Is Good	Saving Abel	0	Country / Rock
The Sky Is a Neighborhood	Foo Fighters	0	Country / Rock
The Sound of Silence	Disturbed	0	Country / Rock
The Vengeful One	Disturbed	0	Country / Rock
Throne	Bring Me the Horizon	0	Country / Rock
Through Glass	Stone Sour	0	Country / Rock
Tired	Stone Sour	0	Country / Rock
Tonight	Seether	0	Country / Rock
Too Bad	Nickelback	0	Country / Rock
Torn in Two	Breaking Benjamin	0	Country / Rock
Torn to Pieces	Pop Evil	0	Country / Rock
Trenches[10]	Pop Evil	0	Country / Rock
Uncomfortable	Halestorm	0	Country / Rock
Under the Graveyard	Ozzy Osbourne	0	Country / Rock
Under Your Scars	Godsmack	0	Country / Rock
Unity	Shinedown	0	Country / Rock
Until It's Gone	Linkin Park	0	Country / Rock
Vilify	Device	0	Country / Rock
Vitamin R (Leading Us Along)	Chevelle	0	Country / Rock
Waking Lions	Pop Evil	0	Country / Rock
Walk	Foo Fighters	0	Country / Rock
Wash It All Away	Five Finger Death Punch	0	Country / Rock
Weak and Powerless	A Perfect Circle	0	Country / Rock
What I've Done	Linkin Park	0	Country / Rock
When I'm Gone	3 Doors Down	0	Country / Rock
When I'm Gone	Dirty Honey	0	Country / Rock
When Legends Rise	Godsmack	0	Country / Rock
When the Curtain Falls	Greta Van Fleet	0	Country / Rock
When the Seasons Change	Five Finger Death Punch	0	Country / Rock
Whiskey Hangover	Godsmack	0	Country / Rock
